Plan used for advanced students
H8,Floor,Handstand,Handstand Forward Roll,Demo2,4.png,N,M,AB I,Floor,"Handstand, Forward Roll, "
H13,Floor,Handstand,Handstand Forward Roll Drill,Demo1,7.png,N,F,AB I,Wedge/Tall Panel Mat,"handstand, forward roll, candle, straight arm"
V4A,Vault,Vault,Handstand Flatback,Demo1,16.png,F,F,AB I,"Tumble Track, 4-8 Incher","Handstand, hollow, "
B47,Uneven Bars,Bars,Partner Assisted Tuck Hang,Demo1,12.png,N,F,AB I,"High Bar, Foam Block","hang, tuck, foam block, partner"
BS9,Floor,Backward Salto,Backward Flip Over Mailbox,Demo1,4.png,N,F,AB,Mailbox,"back salto, mailbox, "
RO4,Floor,Round Off,Cartwheel Step In,Demo2,6.png,N,M,AB I,Panel Mat,"Cartwheel, Round off, "
