Beginner Girls 5:30PM_Plan.csv
FS4,Floor,Forward Salto Progression,Handstand Forward Roll,Demo1,22.png,N,M,AB I,Soft Mat,"Handstand
BS9,Floor,Backward Salto,Backward Flip Over Mailbox,Demo1,4.png,N,F,AB,Mailbox,"back salto
M1,Strength,Beam Strength,Sit Ups,Demo1,20.png,F,F,AB I,Beam,"beam strength
W4,Floor,Walkovers,Front Walkover Over a Barrel,Demo1,5.png,F,F,AB I,"Barrel,elevated surface"
BB19,Beam,Beam,Kneeling Mount,Demo1,14.png,F,F,I,Beam,"mount
HS5,Floor,Handsprings,Jump Fly Back,Demo1,6.png,N,F,AB I,"Mini Tramp Table Trainer,2 incher"
