Aaloo/Plan to export_Plan.csv
W4,Floor,Walkovers,Front Walkover Over a Barrel,Demo1,5.png,F,F,AB I,"Barrel, elevated surface","walkover, split handstand, barrel, "
H5,Floor,Handstand,Half Handstand,Demo1,3.png,N,F,B AB I,Pacman/tall block/resi,"L handstand, pike handstand, handstand, "
S30,ALL,Shapes,Open Shoulder Drill,Demo1,2.png,N,F,ALL,Stick/Band,"shoulder flexibility, "
HS5,Floor,Handsprings,Jump Fly Back,Demo1,6.png,N,F,AB I,"Mini Tramp Table Trainer, 2 incher","backhandspring, round off, rebound, arch"
