1CardPlan_Plan.csv
H5,Floor,Handstand,Half Handstand,Demo1,3.png,N,F,B AB I,Pacman/tall block/resi,"L handstand
R6,Floor,Round Off Progression,Off A Spring Board,Demo1,9.png,N,F,I,"Panel Mat,Junior Board"
S30,ALL,Shapes,Open Shoulder Drill,Demo1,2.png,N,F,ALL,Stick/Band,"shoulder flexibility
B41A,Uneven Bars,Bars,Glide Swing with Slider,Demo1,11.png,N,F,AB I,"Low Bar,slider"
B47,Uneven bars,Bars,Partner Assisted Tuck Hang,Demo1,12.png,N,F,AB I,"High Bar,Foam Block"
S1,ALL,Shapes,Hollow,Demo1,1.png,N,F,ALL,None,"hollow
F2,Floor,Forward Salto Progression,Forward Roll on Tumble Track,Demo1,10.png,N,F,AB I,"Tumble Track,Wedge Mat"
BS9,Floor,Backward Salto,Backward Flip Over Mailbox,Demo1,4.png,N,F,AB,Mailbox,"back salto
