
ER1,Floor,Endo Roll,Endo Roll on Mat,Demo2,2.jpg,N,M,I A,Panel Mat,"Forward Roll, Endo, Straddle, Press, Presshandstand, Stalder, Cast Handstand"
BB19,Beam,Beam,Kneeling Mount,Demo1,14.png,F,F,I,Beam,"mount, knees, knealing, front support"
BB11,Beam,Beam,Split Handstand Hold Drill,Demo1,15.png,F,F,I A,"Floor Beam Resi, Pacman/Wall","split handstand, handstand, w hands, "
B47,Uneven bars,Bars,Partner Assisted Tuck Hang,Demo1,12.png,N,F,AB I,"High Bar, Foam Block","hang, tuck, foam block, partner"
H8,Floor,Handstand,Handstand Forward Roll,Demo2,4.jpg,N,M,AB I,Floor,"Handstand, Forward Roll, "
H10A,Floor,Press,Straddle Press Drill,Demo2,3.jpg,N,M,I A,Panel Mat/Resi,"Straddle, Press, Presshandstand, Stalder, Cast Handstand"
